comment_id,episode,scene_id,confidence
hyrzo4k,3,2,high
hysczu4,3,2,high
hyski48,3,2,high
hytivso,3,1,high
hytmpj6,3,1,high
hyu2s9u,3,2,high
hyuc2vn,3,2,high
hyv0i9z,3,2,high
hyvg9qm,3,4,medium
hyw7iq4,3,3,high
hyxalah,3,3,high
hyxnmtj,3,5,high
hz04kvm,3,2,high
hz16jiv,3,2,high
hz19v0z,3,3,medium
hz1mgck,3,1,high
hz29k3p,3,4,medium
hz2ar0j,3,2,high
hz2cawl,3,2,high
hz2f964,3,2,high
hz2t6cw,3,2,high
hz37jhu,3,2,high
hz48ecg,3,3,high
hz6lily,3,2,high
hz6mtm6,3,3,high
hz78y6l,3,4,medium
hz79hzr,3,2,high
hz8e34v,3,3,medium
hz8hjjk,3,4,medium
hz8m2pe,3,3,medium
hz9x66y,3,2,high
hzkj87d,3,2,high
i003i4j,3,4,medium
i0y8x14,3,2,high
i0yf6di,3,4,high
i17920k,3,3,high
i3zdqg1,3,4,medium
i45owme,3,3,high
i46kdil,3,2,high
i4l7hn7,3,3,high
i5hd9gf,3,3,high
i5nkczg,3,3,medium
i7gxgcx,3,1,high
i7peiiu,3,5,medium
i7ugew1,3,2,high
i8bg0t3,3,4,medium
ib53ovw,3,2,high
ibklk2l,3,2,high
icndana,3,2,high
il2v25f,3,1,high
ipair6p,3,3,high
ipc6zjh,3,2,high
hz9pznd,4,2,high
hz9rxsm,4,2,high
hz9rxsm,4,4,high
hz9s1p7,4,1,high
hz9tf8x,4,2,high
hz9wmyk,4,4,high
hz9woxh,4,1,high
hz9x9b3,4,2,high
hz9xd88,4,1,high
hz9xika,4,3,high
hz9xizo,4,2,high
hz9yzul,4,2,high
hza0fjg,4,4,medium
hza0xfv,4,2,high
hza13t9,4,4,medium
hza2w5y,4,2,high
hza4ub6,4,3,high
hza6936,4,1,high
hza6osz,4,2,high
hza6r1w,4,2,high
hza8s54,4,2,high
hza91xf,4,2,high
hza92je,4,3,medium
hza9em3,4,2,high
hza9j3t,4,1,high
hza9swv,4,1,high
hza9yw0,4,2,high
hzaa2vn,4,2,high
hzaa47d,4,3,high
hzaactq,4,1,high
hzaatzb,4,1,high
hzab4tw,4,4,high
hzabd5o,4,1,high
hzabh3v,4,1,medium
hzabi58,4,2,high
hzac993,4,3,high
hzacqjf,4,2,high
hzacufe,4,4,medium
hzad4pg,4,3,medium
hzadohk,4,1,high
hzaea0o,4,2,high
hzafo6i,4,2,high
hzag38g,4,2,high
hzaggqn,4,2,high
hzaglr5,4,4,medium
hzagui8,4,3,high
hzaipfe,4,4,high
hzaj1rb,4,2,high
hzajeoa,4,2,high
hzajhn7,4,3,high
hzajkb6,4,2,high
hzajnmr,4,3,medium
hzakd29,4,4,high
hzakkla,4,4,high
hzakzkq,4,4,medium
hzall94,4,4,high
hzamz8s,4,3,high
hzamz8s,4,2,high
hzaoj81,4,1,medium
hzap2tz,4,1,high
hzapels,4,3,high
hzaqqzc,4,2,high
hzaswfw,4,4,high
hzaxju6,4,2,high
hzaz7nw,4,2,high
hzb1vi0,4,4,high
hzb3tc7,4,4,medium
hzb79kz,4,3,high
hzb822s,4,1,high
hzb8gwd,4,3,high
hzb9lz2,4,3,high
hzb9lz2,4,4,high
hzbaco3,4,4,high
hzbhfv2,4,2,high
hzbiyvc,4,1,medium
hzblh3i,4,2,high
hzbmihz,4,1,high
hzbnw4z,4,3,high
hzbot2b,4,2,high
hzbphng,4,2,high
hzbpk64,4,4,high
hzbyu6l,4,2,high
hzbz85y,4,2,high
hzc6heq,4,2,medium
hzc757t,4,3,high
hzc9k21,4,3,medium
hzc9ypy,4,3,high
hzcf1jb,4,2,high
hzcg68n,4,4,high
hzcjmjv,4,2,high
hzck1ds,4,4,high
hzcluon,4,2,high
hzcmudo,4,2,high
hzcn9le,4,3,high
hzcooc4,4,2,high
hzcork9,4,2,high
hzcov7v,4,3,high
hzcp6fg,4,3,medium
hzcp9yp,4,3,high
hzcptqe,4,3,high
hzcq0cn,4,3,high
hzcqk6u,4,4,medium
hzcusjh,4,4,high
hzcwc3r,4,4,high
hzcwlu9,4,4,high
hzcxivj,4,2,high
hzcyk4i,4,2,high
hzd18a9,4,4,high
hzd1i7c,4,4,high
hzd45jz,4,4,high
hzd4w07,4,4,high
hzdb520,4,2,high
hzdhbpx,4,4,medium
hzdj7jq,4,3,medium
hzdjajl,4,2,high
hzdlkbl,4,3,high
hzdn8cw,4,3,high
hzdnno1,4,2,high
hzdpozf,4,2,high
hzdqhf5,4,1,high
hzdqrfe,4,4,high
hzdrf3z,4,1,high
hzdrg0b,4,3,high
hzdzzqf,4,3,high
hze47fj,4,1,high
hze7t3a,4,4,medium
hzedyzi,4,2,high
hzeleiv,4,2,high
hzeo155,4,4,high
hzepq95,4,3,high
hzeqwj3,4,3,medium
hzerrg5,4,1,medium
hzexmjw,4,1,high
hzf2oft,4,4,medium
hzf34lx,4,2,high
hzf5aok,4,3,high
hzf7zce,4,4,high
hzfgeqa,4,3,medium
hzfgj0v,4,3,high
hzfh4xn,4,1,high
hzfm593,4,1,medium
hzfmkz6,4,1,high
hzfnfl0,4,2,high
hzfqu8q,4,3,high
hzfvwoh,4,1,high
hzg1rks,4,4,medium
hzg3d8f,4,2,high
hzg6f0g,4,3,high
hzg9zlj,4,3,high
hzgbul3,4,2,high
hzgelhm,4,3,high
hzgfgku,4,2,high
hzgipdc,4,2,high
hzgk0dz,4,2,high
hzgl9je,4,3,medium
hzgmb60,4,2,high
hzgohoq,4,3,medium
hzgrc61,4,2,high
hzhlztf,4,1,medium
hzhxgk9,4,3,high
hzi3bdl,4,1,high
hziauhz,4,4,medium
hzilaj5,4,2,high
hziufzg,4,4,high
hziv318,4,2,high
hzj3sb0,4,3,high
hzj4k6f,4,2,high
hzj5nw3,4,2,high
hzj5nw3,4,1,medium
hzj6n3z,4,4,high
hzj6ve7,4,2,high
hzj88ul,4,1,medium
hzj8ef2,4,2,high
hzja7np,4,4,high
hzjbf2k,4,3,high
hzjbmwv,4,4,high
hzjco2l,4,3,high
hzjfaz2,4,2,high
hzjmq77,4,3,high
hzjoby1,4,2,high
hzjozfe,4,3,high
hzjozfe,4,2,high
hzjozfe,4,4,medium
hzjpgv6,4,4,high
hzkexr4,4,4,medium
hzkhnxp,4,2,high
hzkp5p3,4,1,high
hzkwx0v,4,1,medium
hzleo8h,4,3,high
hzljw8m,4,2,high
hzlwim3,4,4,high
hzmbpjh,4,1,high
hzods16,4,1,medium
hzods16,4,4,medium
hzokrch,4,1,high
hzokrch,4,3,high
hzolsmj,4,1,high
hzon0za,4,4,high
hzotx0b,4,4,high
hzou8bw,4,3,high
hzpfxiv,4,2,high
hzr68v7,4,1,high
hzr68v7,4,4,high
hzrrc36,4,3,medium
hzt7iz7,4,3,high
hzt7pt1,4,4,high
hzty2fk,4,3,medium
hzvg0md,4,4,medium
hzxdpaw,4,2,high
hzzaclz,4,3,high
i00bzmx,4,4,high
i00ecqa,4,2,high
i00jyqr,4,1,medium
i00krpe,4,2,high
i05fmqe,4,2,high
i06h5x6,4,3,medium
i07i9rx,4,2,high
i07jb1b,4,4,medium
i07kdkj,4,2,high
i0rqxi1,4,2,high
i1yuuo0,4,1,high
i1yuuo0,4,3,high
i26ngau,4,2,high
i2t6ujq,4,2,high
i2t6ujq,4,3,high
i384qtt,4,2,high
i3b2s21,4,3,high
i3dkxid,4,4,high
i5n55qe,4,3,high
i5n681d,4,4,high
i6jhkxo,4,4,high
i71eema,4,2,high
i7dxgwx,4,1,high
i80w74v,4,2,high
i8de6jz,4,1,high
ih6ewpe,4,1,high
ihf5tht,4,1,medium
il81r7w,4,1,high
imtxas0,4,4,high
iodf48z,4,2,high
iodf48z,4,3,medium
i06ubje,5,2,high
i06uwy0,5,2,high
i06x5x9,5,1,high
i06yi4x,5,1,high
i06z39j,5,3,high
i06z9be,5,3,high
i06zhr1,5,3,medium
i06zz8b,5,3,high
i0706ug,5,3,medium
i0709f8,5,4,high
i070cgl,5,4,high
i070nnk,5,2,high
i070xur,5,1,high
i071abo,5,2,high
i071c2b,5,2,high
i071mcy,5,2,high
i071tdk,5,1,medium
i071tdk,5,3,medium
i072jkz,5,3,high
i072kty,5,4,high
i072qdm,5,1,high
i072umx,5,2,high
i073a30,5,1,high
i073nwj,5,1,high
i073t8j,5,4,high
i073xd9,5,3,high
i074a0m,5,1,high
i074wvw,5,2,high
i0772xy,5,3,medium
i077tdz,5,2,high
i077tt7,5,3,medium
i078d7u,5,1,medium
i078hxu,5,4,medium
i078tkx,5,3,medium
i0796ur,5,3,high
i079n64,5,2,high
i079uj8,5,3,high
i07afko,5,4,high
i07bvx3,5,3,high
i07c2kw,5,2,high
i07cmx4,5,2,high
i07cpde,5,4,high
i07cwuv,5,3,high
i07dupt,5,2,high
i07fuqz,5,2,high
i07g15d,5,1,high
i07g15d,5,2,high
i07gpvh,5,2,high
i07hq8r,5,3,high
i07i02n,5,3,medium
i07idbd,5,1,high
i07k9bh,5,3,high
i07k9fu,5,2,high
i07kkwf,5,3,medium
i07ldcn,5,2,high
i07lqhq,5,3,high
i07lqhq,5,4,medium
i07lyn2,5,4,high
i07m4hj,5,2,high
i07mw24,5,2,high
i07nhsm,5,4,high
i07oxom,5,2,high
i07pmep,5,2,high
i07rkk1,5,4,high
i07vfyd,5,3,high
i07w140,5,2,high
i07w5hj,5,3,high
i07yk9n,5,2,high
i081mb9,5,3,high
i082kgk,5,1,high
i0841br,5,4,high
i0862iz,5,4,high
i0862xt,5,4,high
i0881tx,5,2,high
i08b68l,5,2,high
i08bfi5,5,2,high
i08e14y,5,3,medium
i08e14y,5,4,medium
i08egmz,5,2,high
i08epzc,5,3,high
i08fjk0,5,3,high
i08fr9e,5,2,high
i08i697,5,2,high
i08n0fz,5,4,high
i08oem5,5,2,high
i08qx8t,5,1,high
i08s63r,5,1,high
i08sewo,5,2,high
i08tsl4,5,4,medium
i08uk48,5,2,high
i08uzp7,5,2,high
i0922r3,5,1,medium
i096m7j,5,2,high
i097d6v,5,2,high
i097zz0,5,2,high
i098d09,5,2,high
i098ytg,5,1,high
i098zfs,5,4,high
i099oe4,5,3,high
i09bcv7,5,4,high
i09blcl,5,3,medium
i09byzv,5,4,medium
i09cb6m,5,3,high
i09ctpk,5,2,high
i09dmbk,5,2,high
i09g1zr,5,1,high
i09h9dt,5,4,medium
i09j1e2,5,2,high
i09n2nl,5,4,high
i09n3i5,5,4,high
i09oqkw,5,3,high
i09pt7w,5,2,high
i09q0f1,5,2,high
i09suyh,5,2,high
i09tj9b,5,4,high
i09tmzb,5,3,high
i09tmzb,5,4,high
i0a0tgz,5,2,high
i0a2jn4,5,2,high
i0a31xo,5,1,high
i0a5nvx,5,2,high
i0a6q3w,5,2,high
i0a9x3o,5,2,high
i0adrsj,5,1,high
i0aezji,5,2,high
i0afr7k,5,1,medium
i0am55f,5,2,high
i0apvyo,5,3,high
i0asuca,5,1,high
i0at23z,5,2,high
i0ax7f5,5,1,medium
i0b1d4d,5,2,medium
i0b61tf,5,2,high
i0b66oh,5,2,high
i0b75md,5,2,high
i0b7bgo,5,2,high
i0b7nzq,5,2,high
i0ba69k,5,4,high
i0bdzv5,5,1,high
i0bfmr3,5,2,high
i0bfogp,5,4,high
i0bh4ve,5,1,high
i0bja4s,5,4,medium
i0bjm7l,5,4,medium
i0bjtka,5,2,high
i0bo7tk,5,4,high
i0brn18,5,2,high
i0brn18,5,3,high
i0bs4e8,5,3,medium
i0bxrna,5,1,high
i0bxu37,5,4,medium
i0bys6l,5,3,high
i0c27la,5,4,high
i0c7jez,5,2,high
i0c8kid,5,4,medium
i0ca8up,5,2,high
i0cc8da,5,2,medium
i0cemmy,5,1,high
i0cgfv8,5,1,high
i0cnqre,5,1,high
i0cvkjq,5,1,high
i0d6cdg,5,2,high
i0dd43g,5,4,high
i0dfbzy,5,2,high
i0dfbzy,5,3,high
i0dkpgb,5,4,high
i0dmzga,5,3,high
i0dql84,5,2,high
i0dxo6a,5,2,high
i0e3wtj,5,1,high
i0e6763,5,2,high
i0e6oxo,5,1,medium
i0e7s8b,5,2,high
i0eni6k,5,1,high
i0esho7,5,2,high
i0esxfp,5,3,medium
i0fa9p5,5,2,high
i0fcw79,5,4,medium
i0fh1rx,5,2,high
i0fhs1y,5,1,high
i0fi3x8,5,4,high
i0flfk6,5,2,high
i0fmstg,5,2,high
i0ft7jw,5,2,high
i0fusyl,5,2,high
i0g7qnu,5,3,high
i0glwog,5,3,high
i0gzaiz,5,2,high
i0hmwh0,5,4,high
i0hnu3w,5,3,high
i0j8erd,5,2,high
i0jc18p,5,4,high
i0k1n6i,5,2,high
i0lhsed,5,1,high
i0llv7x,5,4,medium
i0mnwzq,5,2,high
i0npr13,5,4,high
i0o1oxq,5,4,high
i0p9kus,5,2,high
i0pwdsq,5,3,medium
i0q0jqk,5,3,high
i0q6bng,5,1,high
i0qrx2e,5,2,medium
i0s9vfx,5,2,high
i0trbtf,5,1,high
i0u2a03,5,3,medium
i0utegy,5,1,high
i0uuh51,5,2,high
i0vg9zr,5,1,high
i0wa0gx,5,4,high
i0wv5f5,5,2,high
i0xv4l4,5,4,high
i0y5lqn,5,4,high
i0ziu1g,5,1,high
i0zoic1,5,4,high
i0zvwju,5,1,high
i11x6cl,5,2,high
i12xd2i,5,2,high
i2yw43t,5,2,high
i4nnzwh,5,4,high
i5k8q63,5,2,high
i8c71mu,5,2,high
i8psfo7,5,3,high
ibvw1rx,5,2,high
iekufg6,5,2,high
ihofk1i,5,2,high
ipufhw6,5,2,high
j1vhvkb,5,2,high
i13g910,6,2,high
i13kcrs,6,2,high
i13kgbl,6,4,medium
i13lbfv,6,1,high
i13lm4g,6,1,high
i13moxe,6,2,high
i13mp2n,6,1,high
i13msvf,6,1,high
i13n2w3,6,1,high
i13n8ky,6,1,high
i13nbmk,6,1,high
i13nes8,6,1,high
i13ni86,6,2,high
i13nj4n,6,3,medium
i13nq5y,6,3,high
i13o61o,6,2,high
i13p9s5,6,1,high
i13qkm2,6,4,high
i13qp62,6,2,high
i13rdjx,6,4,medium
i13ru1z,6,2,high
i13s19j,6,1,high
i13s5wq,6,2,high
i13sjet,6,1,high
i13st6v,6,1,high
i13t3im,6,3,high
i13tqsz,6,2,high
i13uyr6,6,1,high
i13vu11,6,1,high
i13w2ic,6,4,high
i13w5cp,6,2,high
i13w6ti,6,3,high
i13wanb,6,4,high
i13wc8k,6,2,medium
i13wf9l,6,2,high
i13whmx,6,4,medium
i13wlxv,6,1,high
i13wngi,6,1,medium
i13wofm,6,2,high
i13wqzs,6,1,high
i13ws09,6,2,high
i13x88x,6,1,high
i13xbat,6,2,high
i13xic4,6,3,high
i13xqyq,6,2,high
i13y5u4,6,1,high
i13ybxq,6,2,high
i13yh4l,6,1,high
i13yhe4,6,4,high
i13z3uk,6,4,medium
i13z83t,6,2,high
i13zcmm,6,1,high
i13zmcw,6,2,high
i1400lo,6,4,high
i140lc7,6,2,high
i141910,6,2,high
i1419gg,6,4,high
i141nsa,6,2,high
i142dwm,6,4,medium
i142iu8,6,3,high
i142mav,6,2,high
i142xr8,6,1,high
i143ivt,6,2,high
i1440uc,6,4,medium
i144jtb,6,3,high
i1458yh,6,3,medium
i145fkr,6,2,high
i145ha1,6,3,high
i145s96,6,1,high
i145wj0,6,2,high
i145zzg,6,1,high
i14638i,6,1,high
i1466h4,6,3,high
i1466h4,6,1,high
i146ehp,6,1,high
i146iur,6,2,high
i146yrc,6,4,medium
i147bfp,6,3,medium
i147byt,6,2,high
i147rck,6,2,high
i1490x0,6,4,medium
i14971h,6,1,high
i149ae1,6,2,high
i149h7t,6,1,high
i149lc1,6,1,high
i14a263,6,2,high
i14a58d,6,2,high
i14aiz0,6,1,high
i14awro,6,2,high
i14b7h3,6,2,high
i14b7h3,6,3,medium
i14byyy,6,2,medium
i14c81r,6,2,high
i14crqi,6,2,high
i14d975,6,2,high
i14dypv,6,1,high
i14g0lv,6,1,high
i14gecb,6,2,high
i14gnsk,6,3,high
i14gnsl,6,1,high
i14h1yq,6,1,medium
i14hvbf,6,1,high
i14j82w,6,1,high
i14jqdu,6,4,high
i14lpcx,6,1,high
i14mirq,6,1,high
i14ozee,6,3,medium
i14ozee,6,1,medium
i14p2ru,6,2,high
i14pgkf,6,4,medium
i14qldi,6,1,high
i14qu19,6,1,high
i14qu19,6,3,high
i14r2v9,6,2,high
i14reri,6,1,high
i14rqby,6,3,high
i14uh8g,6,2,medium
i152pdb,6,3,high
i1538c1,6,1,high
i153iz1,6,2,high
i1540u6,6,2,medium
i154cn1,6,1,medium
i158gz6,6,1,high
i1595a1,6,2,high
i159tjv,6,1,high
i15bir1,6,1,high
i15byew,6,4,medium
i15cpqh,6,4,high
i15d5s9,6,2,high
i15fcgb,6,2,high
i15g7t4,6,4,high
i15hfph,6,1,high
i15jbqd,6,1,high
i15jshv,6,4,high
i15jtkt,6,4,high
i15k7pv,6,1,high
i15k9ye,6,4,high
i15kdeq,6,2,high
i15kp8e,6,2,high
i15mgpq,6,3,medium
i15nkgz,6,4,medium
i15q22v,6,4,high
i15qejp,6,1,high
i15qejp,6,2,high
i15qejp,6,3,high
i15rul2,6,1,high
i15sq6c,6,1,high
i15suaw,6,2,high
i15svye,6,1,high
i15sz7j,6,1,high
i15tj4t,6,2,high
i15tmzb,6,1,high
i15vgfl,6,2,high
i15w8fh,6,2,high
i15xzce,6,1,high
i15y93j,6,4,high
i15ynuy,6,1,high
i15ynuy,6,4,high
i15zutx,6,3,high
i1614lo,6,1,high
i161a1e,6,2,high
i161gdm,6,1,high
i164h0i,6,2,high
i165uit,6,2,high
i165yt7,6,4,medium
i166p7d,6,2,high
i167isf,6,4,high
i16800q,6,1,high
i16ab7s,6,2,high
i16c1ks,6,2,high
i16di9i,6,2,high
i16fzjy,6,2,high
i16j2ly,6,1,high
i16r8f2,6,1,high
i16wvjk,6,1,medium
i16x0ja,6,2,high
i16yh24,6,3,medium
i17087c,6,2,high
i173mre,6,4,medium
i174j88,6,2,high
i174myg,6,2,high
i176x7l,6,3,high
i176yvt,6,1,high
i176yvt,6,2,high
i177x6f,6,4,high
i178nws,6,2,high
i17is3x,6,2,high
i17j9gy,6,2,high
i17lk24,6,2,high
i17mydt,6,1,high
i17p6gb,6,2,high
i17ptha,6,2,high
i17qwht,6,1,high
i17tpyc,6,3,high
i17tpyc,6,1,medium
i17z4nb,6,1,high
i180vbh,6,1,high
i181sfy,6,1,high
i184dj2,6,4,medium
i1854ja,6,4,medium
i185kw2,6,1,medium
i185omm,6,1,high
i187gc8,6,1,high
i18cfdr,6,4,high
i18ef76,6,1,high
i18jags,6,2,high
i18lffk,6,2,high
i18o4z2,6,2,high
i18px4g,6,2,high
i18q295,6,2,high
i18w9bh,6,2,high
i18ykjv,6,4,medium
i18z13f,6,2,high
i190s69,6,1,high
i1915jr,6,2,high
i191a43,6,4,medium
i193vec,6,1,high
i1983t2,6,2,high
i1992z9,6,2,high
i19kw31,6,2,medium
i19lgi7,6,1,high
i19nxy0,6,2,high
i19o2oz,6,2,high
i19ol5m,6,3,high
i19oqf7,6,1,high
i19sqp6,6,4,high
i19t6wb,6,2,high
i19tomr,6,2,high
i19u6k4,6,1,high
i19v2o2,6,2,high
i19v6lb,6,1,high
i19vwn5,6,2,high
i1a26u1,6,1,high
i1a2b9m,6,1,high
i1a2kby,6,1,high
i1a4j0a,6,4,medium
i1a5qat,6,1,high
i1asma0,6,1,high
i1auwl5,6,1,high
i1b01ki,6,1,medium
i1bdg1e,6,2,high
i1bdqii,6,1,high
i1bny3e,6,1,high
i1br01a,6,1,high
i1c15xa,6,2,high
i1c2gil,6,4,medium
i1c4ac5,6,4,medium
i1c7tg6,6,1,medium
i1c8f9l,6,1,medium
i1catye,6,3,medium
i1cd69k,6,1,high
i1ce3pr,6,1,high
i1cgwy7,6,2,high
i1cikos,6,2,high
i1cyy9y,6,4,high
i1d1c5d,6,1,high
i1d9l4b,6,1,high
i1db6fp,6,1,high
i1ddei1,6,2,high
i1de5i3,6,1,high
i1deent,6,1,high
i1dkwhk,6,1,high
i1dkwhk,6,3,high
i1dq5pc,6,3,medium
i1efj0u,6,4,medium
i1fbmde,6,1,high
i1fl90h,6,2,high
i1gcts6,6,4,medium
i1ghcqo,6,2,high
i1ghcqo,6,4,medium
i1ghz0u,6,3,high
i1gtwzu,6,3,high
i1hubpw,6,4,high
i1ig78p,6,3,high
i1j42g3,6,2,high
i1jlur2,6,2,high
i1jtccv,6,3,high
i1k396g,6,2,high
i1k4t6u,6,1,high
i1k5ygz,6,3,high
i1kfhci,6,3,high
i1kjmxf,6,2,high
i1kl2hj,6,1,high
i1lpujw,6,1,high
i1lqmzx,6,2,high
i1mo7w3,6,4,high
i1n6a76,6,2,high
i1o8gjy,6,1,high
i1oax5s,6,3,high
i1pryq4,6,2,high
i1q6fho,6,4,medium
i1q7aoe,6,2,high
i1qu4bm,6,4,medium
i1qvq9p,6,1,high
i1qwt5j,6,2,high
i1rqlxv,6,2,medium
i1swl1g,6,3,medium
i1tgytp,6,2,high
i1w0mm0,6,1,high
i1wmbps,6,1,high
