comment_id,episode,theory_id,endorsement,confidence
hy3ouww,2,4,implied,medium
hy3spqk,2,3,mentioned,medium
hy4h494,2,3,mentioned,medium
hy4vjio,2,1,implied,high
hy51o40,2,4,strong,high
hy5932s,2,3,mentioned,medium
hy5a0ni,2,4,mentioned,high
hy5as35,2,1,mentioned,medium
hy5d54q,2,4,mentioned,high
hy5fi55,2,4,implied,high
hy5fija,2,3,implied,medium
hy5fija,2,4,implied,medium
hy5gsky,2,4,implied,high
hy5gzi7,2,4,implied,medium
hy5i5nb,2,1,mentioned,medium
hy5i5nb,2,4,implied,medium
hy5ipj9,2,4,implied,high
hy5j0tv,2,4,strong,high
hy5obx9,2,1,strong,high
hy5p0zx,2,4,strong,high
hy5px3l,2,4,implied,medium
hy5rhxd,2,2,implied,medium
hy5w8ij,2,4,strong,high
hy5wmrh,2,4,rejected,medium
hy71azs,2,1,mentioned,high
hy771oq,2,1,mentioned,medium
hy7l7i6,2,4,implied,medium
hy7mc9g,2,1,mentioned,medium
hy7oiad,2,1,implied,medium
hy7t2js,2,3,implied,high
hy83jct,2,1,mentioned,medium
hyci2l5,2,1,implied,high
hyl9b6l,2,2,implied,medium
hym7c1z,2,3,implied,high
hypcebz,2,4,mentioned,medium
hyuclpe,2,1,implied,high
hyudvjh,2,4,mentioned,high
i2swvcv,2,1,implied,high
i3u49gj,2,3,mentioned,medium
i41w7ay,2,4,mentioned,high
i4dljwq,2,1,strong,high
i4ety5f,2,4,mentioned,medium
i4kqyai,2,3,implied,high
i4vukz7,2,1,mentioned,medium
i51uz9h,2,1,mentioned,medium
i5ice92,2,3,strong|implied|mentioned|rejected,medium
i5iorep,2,1,implied,high
i5jnig8,2,4,mentioned,medium
i87or1p,2,1,implied,high
iclpq94,2,1,implied,medium
if14gtm,2,4,implied,medium
ikb316x,2,4,mentioned,high
ikcq1f2,2,4,implied,high
ip5rttt,2,1,implied,medium
ipxjv0k,2,1,implied,high
isi03u9,2,4,implied,medium
it1qgt7,2,4,mentioned,medium
iubf1xi,2,4,mentioned,medium
iubfr1z,2,4,implied,high
ivf81j0,2,1,implied,medium
hyc22ol,3,2,implied,medium
hyc43yf,3,3,implied,medium
hyc46wf,3,1,strong|implied,high
hyc4bev,3,1,implied,medium
hyc4tun,3,3,mentioned,high
hyc8alq,3,2,implied,medium
hyc8csr,3,3,strong,high
hyc8zv1,3,1,implied,medium
hycb7oz,3,2,implied,medium
hycdbuy,3,1,mentioned,medium
hyce24o,3,3,implied,high
hycexlq,3,2,implied,medium
hycg4cu,3,1,implied,medium
hycgau7,3,3,mentioned,high
hych95f,3,2,implied,medium
hychtmu,3,2,implied,medium
hyciifu,3,2,implied,medium
hyciifu,3,3,implied,medium
hycjd41,3,2,implied,medium
hycl8bv,3,4,implied,medium
hyclio0,3,4,implied,medium
hycm00v,3,2,implied,high
hycmrqq,3,1,implied,medium
hycms4k,3,1,mentioned,medium
hycn4w6,3,4,implied,medium
hyco68k,3,3,mentioned,high
hycs7ge,3,3,implied,high
hyct3p9,3,1,implied,medium
hycthck,3,1,mentioned,medium
hycu2x7,3,2,mentioned,medium
hycu3r0,3,4,implied,medium
hycuyov,3,2,implied,high
hycwh26,3,3,strong,high
hycxqlf,3,2,implied,medium
hycya9r,3,2,implied,medium
hycycka,3,2,mentioned,medium
hycyepd,3,4,implied,medium
hyczkde,3,2,rejected,medium
hycztkk,3,2,implied,medium
hyd01e0,3,2,mentioned,medium
hyd08ko,3,2,implied,high
hyd0i94,3,2,implied,medium
hyd1a77,3,1,implied,high
hyd3qcc,3,3,implied,high
hyd4vwl,3,2,implied,medium
hyd6sdr,3,1,mentioned,medium
hyd9ghl,3,2,implied,medium
hydd8ym,3,2,mentioned,medium
hyddvhw,3,3,implied,high
hyde6us,3,2,implied,medium
hyde6us,3,4,implied,medium
hyde9cz,3,4,implied,medium
hydgxoa,3,1,implied,high
hydiyvj,3,1,rejected,high
hydjsex,3,1,implied,high
hydk8e9,3,1,strong,high
hydk8kp,3,3,implied,medium
hydpmfi,3,1,mentioned,medium
hye0bar,3,1,implied,medium
hye0rvr,3,1,implied,high
hye1oa5,3,3,implied,high
hye3iof,3,2,implied,medium
hye3iof,3,3,implied,medium
hye5da3,3,1,mentioned,medium
hye6a9b,3,3,strong,high
hye7v3q,3,3,implied,high
hye8tct,3,4,implied,high
hye8ybo,3,4,mentioned,medium
hyedehw,3,3,implied,medium
hyeh3ph,3,1,mentioned,medium
hyejd27,3,2,implied,medium
hyeoyfq,3,2,implied,medium
hyepfjg,3,2,rejected,high
hyeqtd4,3,1,mentioned,high
hyeva3q,3,2,rejected,medium
hyezvdp,3,1,mentioned,medium
hyf01pe,3,2,implied,medium
hyf05xt,3,1,implied,medium
hyf2fbu,3,3,implied,medium
hyf2fbu,3,4,implied,medium
hyf3gnr,3,1,implied,medium
hyf53y0,3,2,implied,medium
hyf5d8z,3,2,implied,medium
hyf5vgx,3,2,implied,medium
hyf7ryi,3,1,mentioned,medium
hyf8asu,3,1,implied,high
hyf8asu,3,2,implied,medium
hyf9xe3,3,2,implied,high
hyfazc1,3,1,implied,medium
hyfazc1,3,2,implied,medium
hyfe609,3,3,strong,high
hyfez0u,3,3,mentioned,high
hyffdkl,3,2,implied,medium
hyfydui,3,2,mentioned,medium
hyg05f9,3,1,implied,medium
hyg0ahi,3,4,implied,medium
hyg2ela,3,1,implied,medium
hyg2vxn,3,1,mentioned,medium
hyg41qz,3,4,implied,medium
hyg4ky2,3,2,mentioned,medium
hyg53vv,3,4,mentioned,medium
hyg7ntu,3,1,implied,medium
hyg9e39,3,3,implied,medium
hygc0n8,3,2,implied,high
hygetlg,3,1,mentioned,high
hygetlg,3,3,mentioned,high
hygfdvn,3,3,implied,medium
hygfihl,3,2,implied,medium
hygfzv4,3,3,implied,medium
hygkmeg,3,4,strong,high
hyglyho,3,3,implied,high
hygmblf,3,2,implied,medium
hygmupd,3,2,implied,medium
hygooa2,3,4,implied,medium
hygpsyq,3,3,mentioned,high
hygq0s5,3,4,implied,high
hygq7fp,3,1,implied,medium
hygr5at,3,3,implied,high
hygrnhc,3,1,mentioned,medium
hygrpr6,3,2,implied,medium
hygt6jr,3,3,strong,high
hygtixn,3,4,implied,medium
hygvye8,3,2,implied,medium
hyh0r3c,3,1,implied,medium
hyh118y,3,3,mentioned,high
hyh1t81,3,3,mentioned,high
hyh310n,3,2,implied,medium
hyh34ey,3,4,implied,medium
hyh38wy,3,2,implied,medium
hyh3pd6,3,2,implied,medium
hyh4ar9,3,1,implied,high
hyh6ubg,3,2,mentioned,medium
hyhaf9g,3,3,implied,high
hyhdwn7,3,4,strong,high
hyhfi4h,3,1,mentioned,medium
hyhfkfj,3,1,mentioned,medium
hyhi727,3,2,rejected,high
hyhj1kp,3,2,implied,medium
hyhk635,3,2,implied,high
hyhlwtl,3,1,implied,medium
hyhmtw0,3,3,implied,high
hyhnm1z,3,2,implied,medium
hyhqhor,3,2,implied,medium
hyhqhor,3,3,strong,high
hyhs548,3,2,implied,medium
hyhs8yk,3,3,mentioned,high
hyhsm48,3,2,mentioned,medium
hyhsudu,3,4,mentioned,high
hyhswu5,3,2,implied,medium
hyht0lg,3,3,mentioned,high
hyhuct3,3,3,implied,medium
hyhyzfj,3,2,implied,medium
hyi13z5,3,2,implied,medium
hyi41er,3,3,implied,high
hyi4ek2,3,2,implied,medium
hyij4ge,3,3,mentioned,medium
hyiukef,3,3,strong,high
hyixfn7,3,2,mentioned,medium
hyixy2u,3,4,mentioned,medium
hyiyqzu,3,4,implied,medium
hyj3phq,3,1,mentioned,medium
hyj5bgt,3,4,implied,medium
hyjeqsy,3,2,implied,medium
hyjfx8b,3,4,mentioned,medium
hyjg4q2,3,3,implied,high
hyjhw7t,3,1,implied,medium
hyjjuav,3,1,strong,high
hyjndpt,3,2,implied,medium
hyjp6st,3,2,implied,medium
hyjri7x,3,4,implied,medium
hyjwgas,3,2,implied,medium
hyk45y8,3,3,strong,high
hykfnzl,3,2,implied,medium
hykg5rc,3,1,mentioned,medium
hyki31y,3,3,implied,medium
hykn69m,3,3,implied,high
hykpgcv,3,2,implied,medium
hyl70hh,3,3,implied,high
hyl77dd,3,3,implied,high
hyl7y0c,3,4,implied,medium
hylcgjk,3,4,implied,medium
hyldhfp,3,3,implied,medium
hyll5m2,3,1,implied,medium
hylq9ef,3,4,implied,medium
hym6znv,3,1,implied,medium
hym70mo,3,3,mentioned,high
hym73g2,3,3,implied,high
hym7xcd,3,3,mentioned,medium
hym80kk,3,2,implied,medium
hym8733,3,1,implied,medium
hymb62m,3,2,implied,medium
hymbfc3,3,3,mentioned,high
hymgrs9,3,2,implied,medium
hymkzsw,3,2,implied,medium
hymm373,3,1,implied,medium
hymm509,3,3,mentioned,high
hyn7avq,3,2,mentioned,high
hyn7pnv,3,1,implied,medium
hyn8br3,3,1,strong,high
hynnr9u,3,3,strong,high
hynwu36,3,2,implied,medium
hynxj2w,3,1,implied,high
hynxj2w,3,2,mentioned,medium
hynxlrv,3,3,implied,high
hynztqs,3,1,mentioned,medium
hyo18ba,3,3,implied,high
hyo356a,3,3,mentioned,high
hyo3vsx,3,3,implied,medium
hyo4a2s,3,2,implied,medium
hyo60rm,3,1,implied,medium
hyochw0,3,2,rejected,medium
hyoga92,3,1,implied,high
hyostbm,3,2,implied,medium
hypau9b,3,3,implied,high
hyplgs8,3,4,implied,medium
hyplp53,3,1,implied,medium
hyq8xi6,3,2,implied,medium
hyqq569,3,3,mentioned,high
hyqzn8n,3,2,mentioned,medium
hyr8p7i,3,3,implied,high
hyrcm8z,3,2,implied,high
hyrdbwm,3,3,implied,high
hys0dwa,3,3,strong,high
hys5n37,3,2,implied,medium
hys63op,3,1,implied,medium
hysczu4,3,1,mentioned,high
hysczu4,3,2,mentioned,medium
hyski48,3,2,implied,medium
hysqspz,3,1,mentioned,high
hyssbz5,3,2,implied,medium
hytvn9a,3,3,implied,high
hytwcf3,3,1,implied,medium
hyuc2vn,3,2,implied,medium
hyudssh,3,3,implied,medium
hyuuz4e,3,4,implied,high
hyv3yqk,3,2,mentioned,medium
hyvf4f0,3,1,implied,high
hyvg9qm,3,2,mentioned,medium
hyvg9qm,3,3,strong,high
hyvhs90,3,2,implied,medium
hyw7iq4,3,3,mentioned,high
hyw7p0b,3,2,mentioned,medium
hywb8jy,3,4,implied,medium
hyxalah,3,3,implied,high
hyxk6hd,3,1,mentioned,medium
hyzm7sv,3,1,implied,medium
hz04kvm,3,2,implied,medium
hz0hcim,3,2,implied,high
hz107vi,3,4,implied,medium
hz10m0n,3,2,implied,medium
hz12lbv,3,1,mentioned,medium
hz14ypc,3,4,implied,medium
hz19v0z,3,3,implied,medium
hz2073c,3,2,implied,medium
hz21ysb,3,2,implied,medium
hz29k3p,3,2,implied,medium
hz2ay6n,3,1,implied,medium
hz2b4k6,3,2,implied,medium
hz2cawl,3,1,implied,high
hz2ee5v,3,2,implied,medium
hz2f964,3,2,mentioned,medium
hz2t6cw,3,2,implied,medium
hz37jhu,3,2,implied,medium
hz480we,3,3,implied,high
hz486u2,3,3,implied,high
hz49kp2,3,4,implied,high
hz4ie4i,3,4,mentioned,medium
hz4ja6f,3,2,implied,medium
hz6g18y,3,2,implied,medium
hz6lzey,3,3,strong,high
hz6mtm6,3,1,mentioned,high
hz6o5bm,3,3,mentioned,high
hz6ovzq,3,3,strong,high
hz6sw3w,3,2,implied,medium
hz7354p,3,2,implied,medium
hz76ptx,3,2,implied,high
hz77ow7,3,2,implied,medium
hz78y6l,3,2,rejected,high
hz79hzr,3,1,mentioned,high
hz7w5nc,3,2,implied,medium
hz8akor,3,1,implied,medium
hz8cqp7,3,1,mentioned,high
hz8e34v,3,2,implied,medium
hz8hjjk,3,2,implied,medium
hz96f5m,3,1,mentioned,high
hzcaukr,3,2,implied,high
hzetv65,3,2,mentioned,medium
hzkj87d,3,4,rejected,high
hzpntfh,3,2,implied,medium
hzt3oeb,3,1,implied,high
hzwppnw,3,3,mentioned,high
hzx03sc,3,3,strong,high
i002v7y,3,1,implied,medium
i17920k,3,3,strong,high
i219pve,3,2,implied,high
i230u5v,3,2,mentioned,high
i28hbdm,3,1,mentioned,high
i28jbhe,3,1,mentioned,medium
i2ahktn,3,1,mentioned,medium
i2l7yhw,3,1,mentioned,high
i2l8rt8,3,1,strong,high
i3plqzm,3,2,implied,medium
i3zdqg1,3,1,mentioned,medium
i3zdqg1,3,2,implied,medium
i427hnd,3,3,implied,high
i46kdil,3,1,mentioned,medium
i4e1tx0,3,2,implied,medium
i4l7hn7,3,3,strong,high
i4lkmtd,3,2,mentioned,medium
i5m5tk5,3,3,strong,high
ib53ovw,3,1,mentioned,medium
ibklk2l,3,2,implied,medium
icndana,3,1,rejected,high
iikuszd,3,3,mentioned,high
ijn94w6,3,3,implied,medium
imm75kg,3,3,implied,medium
ipair6p,3,3,mentioned,high
ipc6zjh,3,1,implied,medium
iubqvwz,3,4,mentioned,medium
hz9pznd,4,3,implied,high
hz9rxsm,4,1,strong,high
hz9rxsm,4,3,implied,medium
hz9sc4l,4,2,implied,high
hz9sdkh,4,3,implied,high
hz9shq5,4,1,implied,high
hz9shq5,4,2,implied,high
hz9sko7,4,1,strong,high
hz9sko7,4,2,implied,medium
hz9sks0,4,1,strong,high
hz9sks0,4,2,implied,medium
hz9snz5,4,1,strong,high
hz9snz5,4,2,implied,medium
hz9t43x,4,3,mentioned,high
hz9t7dx,4,4,mentioned,high
hz9tf8x,4,3,implied,high
hz9tpkn,4,4,implied,high
hz9tqyg,4,4,implied,high
hz9txyv,4,3,mentioned,medium
hz9ul7e,4,1,rejected,high
hz9uyla,4,1,implied,high
hz9uyla,4,3,implied,medium
hz9vpbh,4,4,implied,medium
hz9woxh,4,2,implied,medium
hz9x9b3,4,1,rejected,high
hz9xa5a,4,3,implied,high
hz9xizo,4,3,implied,high
hz9xn4k,4,3,implied,high
hz9z2f4,4,2,mentioned,medium
hza0fjg,4,3,implied,high
hza0gzp,4,3,mentioned,high
hza0xfv,4,3,implied,medium
hza13t9,4,1,implied,medium
hza2w5y,4,3,implied,medium
hza340i,4,3,strong,high
hza4ub6,4,1,rejected,high
hza4ub6,4,3,implied,medium
hza516t,4,3,mentioned,high
hza53lc,4,3,implied,medium
hza53m5,4,2,implied,medium
hza5emn,4,2,implied,medium
hza5jx3,4,3,implied,high
hza7k4r,4,1,implied,high
hza7luo,4,2,implied,medium
hza7vo9,4,4,implied,high
hza8ev3,4,3,implied,high
hza92je,4,3,implied,high
hza9n6k,4,4,implied,high
hza9r9d,4,1,strong,high
hzaa1wi,4,4,implied,medium
hzaao5i,4,1,implied,medium
hzaatzb,4,2,implied,medium
hzaaztz,4,3,implied,high
hzab4tw,4,2,implied,medium
hzabd5o,4,3,implied,high
hzabh3v,4,2,strong|implied|mentioned|rejected,medium
hzabsb4,4,2,implied,medium
hzaca7w,4,1,implied,medium
hzaca7w,4,4,implied,medium
hzacufe,4,3,rejected,high
hzaczgt,4,3,implied,high
hzad4pg,4,3,implied,high
hzadrx6,4,1,rejected,high
hzadrx6,4,2,implied,medium
hzaf0fd,4,3,mentioned,medium
hzafm5j,4,3,implied,high
hzafo6i,4,3,implied,medium
hzag38g,4,1,implied,high
hzag38g,4,3,implied,medium
hzag77l,4,3,implied,medium
hzag77l,4,4,implied,medium
hzaglr5,4,3,mentioned,medium
hzagpvo,4,4,implied,medium
hzah4oq,4,2,implied,medium
hzah651,4,3,implied,high
hzahbub,4,3,implied,medium
hzahr0y,4,3,implied,high
hzahwy5,4,3,implied,medium
hzaipfe,4,3,implied,high
hzajeoa,4,3,implied,medium
hzajhn7,4,2,implied,medium
hzajnmr,4,3,mentioned,high
hzak01c,4,2,implied,medium
hzakd29,4,3,implied,medium
hzakkla,4,3,implied,medium
hzakq53,4,3,implied,high
hzakzkq,4,3,implied,medium
hzal6u7,4,2,implied,high
hzam7wd,4,3,rejected,high
hzamyhe,4,1,mentioned,medium
hzaoj81,4,3,implied,high
hzaprvr,4,3,implied,high
hzaptuz,4,4,implied,medium
hzaqawt,4,3,strong,high
hzaqh7w,4,4,implied,high
hzaqpyn,4,3,strong,high
hzaqqzc,4,3,implied,medium
hzarrov,4,2,mentioned,medium
hzarvd5,4,1,strong|implied|mentioned|rejected,high
hzarvd5,4,3,strong|implied|mentioned|rejected,medium
hzat1ag,4,3,mentioned,high
hzb5dra,4,3,implied,medium
hzb5hvh,4,3,implied,medium
hzb6o9b,4,2,implied,high
hzb6o9b,4,3,implied,high
hzb72aw,4,2,implied,high
hzb7o29,4,3,implied,medium
hzb7rai,4,4,implied,medium
hzb7x0e,4,4,strong,high
hzb9lz2,4,1,mentioned,high
hzb9lz2,4,2,implied,medium
hzb9lz2,4,3,implied,medium
hzbaco3,4,3,implied,high
hzbcqdx,4,1,mentioned,high
hzbcqdx,4,2,implied,medium
hzbfihr,4,2,implied,medium
hzbgozs,4,3,implied,medium
hzbhfv2,4,3,implied,high
hzbi5gy,4,3,implied,medium
hzbjhno,4,3,implied,high
hzbjpws,4,3,implied,high
hzbjumn,4,1,strong|implied,high
hzbkar1,4,3,implied,high
hzbl1w2,4,4,implied,high
hzbln6x,4,2,implied,medium
hzblqgz,4,2,implied,medium
hzblqgz,4,3,implied,medium
hzbml3z,4,3,implied,high
hzbn20f,4,1,implied,medium
hzbn20f,4,2,strong,medium
hzbn4fr,4,3,implied,high
hzbntu3,4,3,strong,high
hzbntu3,4,4,implied,medium
hzbot2b,4,3,implied,high
hzbphng,4,3,implied,medium
hzbpk64,4,3,implied,high
hzbqave,4,3,strong,high
hzbuk9h,4,3,implied,high
hzbvm4g,4,2,implied,medium
hzbzh21,4,3,strong,high
hzc06xb,4,1,strong,high
hzc06xb,4,2,implied,medium
hzc06xb,4,3,implied,medium
hzc3x0g,4,3,implied,high
hzc6heq,4,3,implied,medium
hzc6iqa,4,2,implied,high
hzc757t,4,1,rejected,high
hzc757t,4,4,implied,medium
hzc8obt,4,4,implied,medium
hzc8tux,4,2,implied,medium
hzc9k21,4,3,mentioned,medium
hzc9ypy,4,4,implied,medium
hzcbux7,4,1,implied,high
hzcbux7,4,2,implied,high
hzcc0d3,4,3,strong,high
hzcd6sr,4,3,implied,high
hzcetfw,4,2,implied,medium
hzcf1jb,4,1,mentioned,high
hzcf1jb,4,2,implied,medium
hzcg0c8,4,3,implied,medium
hzcgf70,4,3,implied,high
hzcgtf4,4,3,implied,high
hzchl0d,4,3,implied,high
hzchx1z,4,2,implied,high
hzcijlt,4,4,mentioned,high
hzcirsp,4,3,implied,medium
hzcj828,4,2,implied,medium
hzcjmjv,4,3,implied,medium
hzckycs,4,3,implied,high
hzcluon,4,3,implied,high
hzcm8vo,4,3,mentioned,medium
hzcmdn9,4,3,strong,high
hzcmdn9,4,4,strong,high
hzcmudo,4,3,implied,medium
hzcn9le,4,4,implied,medium
hzcnj8l,4,4,implied,high
hzcnllr,4,3,implied,high
hzcny1b,4,2,implied,medium
hzcny1b,4,3,strong,high
hzcp2ze,4,3,mentioned,high
hzcp6fg,4,4,implied,medium
hzcp9yp,4,3,implied,high
hzcplca,4,1,implied,medium
hzcqk6u,4,2,implied,medium
hzcqrjp,4,1,strong,high
hzcqrjp,4,2,implied,medium
hzcr98n,4,1,strong,high
hzcsfwz,4,3,implied,high
hzcu3ye,4,2,implied,medium
hzcvxrk,4,3,implied,high
hzcwc3r,4,3,implied,medium
hzcyk4i,4,3,implied,medium
hzcyk4m,4,3,mentioned,high
hzczzgv,4,2,implied,high
hzd06bi,4,2,implied,high
hzd0l9z,4,2,implied,medium
hzd28g0,4,3,mentioned,high
hzd4w07,4,3,implied,medium
hzd6qxn,4,2,implied,medium
hzdb520,4,3,mentioned,medium
hzdbgdq,4,4,mentioned,medium
hzdhbpx,4,1,mentioned,medium
hzdhbpx,4,3,mentioned,medium
hzdht11,4,2,implied,medium
hzdi5f4,4,1,mentioned,medium
hzdig82,4,3,implied,high
hzdiphy,4,3,strong,high
hzdiphy,4,4,strong,high
hzdj7jq,4,2,implied,high
hzdlgg1,4,2,implied,medium
hzdlgg1,4,3,strong|implied,high
hzdlkbl,4,4,mentioned,medium
hzdm7n2,4,3,implied,medium
hzdmf7k,4,2,implied,high
hzdmtpt,4,3,strong,high
hzdn8cw,4,3,strong,high
hzdnno1,4,3,implied,high
hzdnno1,4,4,strong,high
hzdonr1,4,3,mentioned,high
hzdpozf,4,3,implied,high
hzdqhf5,4,2,implied,medium
hzdqq3m,4,3,mentioned,high
hzdrf3z,4,2,implied,medium
hzds53c,4,2,implied,medium
hzdsqd4,4,4,implied,high
hzdtetq,4,3,mentioned,medium
hzdz65t,4,3,implied,high
hzdzzqf,4,3,mentioned,high
hzebh4v,4,2,implied,medium
hzec0f9,4,3,implied,medium
hzecnms,4,3,implied,high
hzedcq6,4,2,implied,medium
hzedkbd,4,1,strong,high
hzedr7a,4,3,implied,high
hzedyzi,4,3,implied,medium
hzejq6d,4,2,implied,medium
hzel4xo,4,3,strong,high
hzenlq4,4,3,implied,medium
hzeo155,4,3,implied,medium
hzeovdv,4,3,mentioned,high
hzeoyz4,4,4,implied,medium
hzep7tc,4,2,implied,high
hzeplg1,4,4,implied,high
hzeprhp,4,4,mentioned,medium
hzeqhd1,4,2,implied,high
hzequ1h,4,3,mentioned,high
hzeqwj3,4,2,implied,medium
hzeqwj3,4,3,implied,medium
hzerrg5,4,2,implied,medium
hzerz1l,4,3,implied,medium
hzeyiur,4,1,implied,medium
hzeyiur,4,3,implied,medium
hzf0u73,4,3,implied,high
hzf0u73,4,4,strong,high
hzf1jjt,4,3,implied,medium
hzf27lg,4,3,strong,high
hzf2khp,4,3,implied,medium
hzf2oft,4,3,implied,high
hzf34lx,4,3,mentioned,high
hzf5aok,4,3,mentioned,medium
hzf5bvw,4,3,implied,medium
hzf7zce,4,3,implied,high
hzf8toh,4,4,implied,medium
hzfdi43,4,3,implied,medium
hzfe7h8,4,3,implied,high
hzfepvd,4,2,implied,high
hzfepvd,4,3,mentioned,medium
hzfesay,4,4,implied,high
hzffbke,4,3,strong,high
hzffbke,4,4,strong,high
hzffudf,4,4,implied,medium
hzfgeqa,4,4,implied,medium
hzfnfl0,4,3,implied,medium
hzfnfl0,4,4,implied,medium
hzfuq0q,4,2,implied,medium
hzfuq0q,4,3,implied,high
hzfv4dh,4,3,implied,medium
hzfvt7i,4,3,implied,high
hzfvt7i,4,4,implied,high
hzfx3ud,4,2,rejected,medium
hzg0kca,4,2,implied,medium
hzg0qm1,4,3,implied,medium
hzg1iu5,4,2,implied,medium
hzg1iu5,4,3,implied,high
hzg1rks,4,3,implied,high
hzg3d8f,4,3,mentioned,medium
hzg5q3c,4,4,strong,high
hzg6g0d,4,3,mentioned,high
hzg9zlj,4,4,mentioned,medium
hzgbqmr,4,2,implied,medium
hzgbul3,4,3,implied,high
hzgfgku,4,1,implied,high
hzggujn,4,2,implied,medium
hzggujn,4,3,implied,high
hzgipdc,4,1,mentioned,medium
hzgipdc,4,4,implied,medium
hzgk0dz,4,3,implied,high
hzgm0mb,4,3,implied,high
