comment_id,episode,entity_canonical_name,extracted_as,confidence
hxrm4sr,2,Harmony Cobel,her mom,medium
hxrujb0,2,Mark Scout,MS,high
hxs12eh,2,Harmony Cobel,Mrs. Selvig,high
hxs12eh,2,Irving,Irving,high
hxs22c0,2,Lumon Industries,lumon,high
hxs2jzq,2,Lumon Industries,the company,high
hxs2otq,2,Petey,Petey,high
hxs2otq,2,Lumon Industries,lumon,high
hxsajrf,2,Mark Scout,my husband,medium
hxsbqrd,2,Mrs. Selvig/Cobel,she,high
hxseb9r,2,Mark Scout,MS,high
hxsebvg,2,Kier Eagan,Mr Eagan,high
hxsebvg,2,Mark Scout,Mark,high
hxsebvg,2,Helly R.,Helly,high
hxsfcpl,2,Mark Scout,MS,high
hxsj0q1,2,Mark Scout,Mark,high
hxsjfwa,2,Mark Scout,Mark,high
hxsjfwa,2,Mrs. Selvig/Cobel,the boss lady,medium
hxsjvkf,2,Mrs. Selvig/Cobel,Selvig/Cobel,high
hxsjvkf,2,Mark Scout,Mark,high
hxsmcqr,2,Mrs. Selvig/Cobel,she,high
hxtcxlq,2,Mark Scout,MS,high
hxtde63,2,Mark Scout,MS,high
hxtdndk,2,Petey,Petey,high
hxtdthn,2,Mark Scout,MS,high
hxte9wu,2,Mark Scout,Mark,high
hxthj63,2,Mark Scout,MS,high
hxtsk0j,2,Mrs. Selvig/Cobel,she,high
hxtt65j,2,Mark Scout,Mark,high
hxtt65j,2,Helly R.,Helly,high
hxuoixm,2,Mark Scout,Mark,high
hxuphbs,2,Mrs. Selvig/Cobel,Mrs Selvig,high
hxuphbs,2,Mark Scout,MS,high
hxupkvk,2,Mark Scout,MS,high
hxupw2b,2,Mark Scout,MS,high
hxuq5k9,2,Mrs. Selvig/Cobel,she,high
hxuq5k9,2,Mark Scout,he,high
hxuqfgt,2,Mark Scout,MS,high
hxurqt2,2,Mrs. Selvig/Cobel,the boss lady,high
hxurqt2,2,Mark Scout,Mark,high
hxurqt2,2,Petey,Petey,medium
hxuvv77,2,Mark Scout,MS,high
hxvhu5i,2,Irving,Irv,high
hxvkwj4,2,Mark Scout,Mark,high
hxvkwj4,2,Petey,Petey guy,medium
hxvrqjz,2,Mark Scout,MS,high
hxvsiyi,2,Mrs. Selvig/Cobel,neighbor,high
hxvsiyi,2,Helly R.,Helly,high
hxvsiyi,2,Mark Scout,MS,high
hxvth9x,2,Dylan,3 people who do their job well,medium
hxvth9x,2,Helly R.,one outlier,medium
hxvtvwv,2,Mark Scout,Mark,high
hxvutvg,2,Mark Scout,MS,high
hxvva3p,2,Irving,Irv,high
hxvxox3,2,Petey,Petey,high
hxvxox3,2,Mark Scout,Mark's outie,high
hxvy2zf,2,Helly R.,Hella,high
hxw0c1j,2,Mark Scout,MS,high
hxw0c1j,2,Helly R.,Helly,high
hxw0ffg,2,Mark Scout,MS,high
hxw69q7,2,Mark Scout,MS,high
hxw751f,2,Helly R.,Helly,high
hxw8aio,2,Helly R.,Helly,high
hxw9un2,2,Irving,Irv,high
hxwaq5r,2,Mark Scout,Mark,high
hxwaq5r,2,Helly R.,Helly,medium
hxwaq5r,2,Petey,Petey,medium
hxwc0o7,2,Mark Scout,MS,high
hxwe84n,2,Harmony Cobel,she,high
hxwe84n,2,Mark Scout,him,high
hxwridy,2,Harmony Cobel,the boss,high
hxwridy,2,Mark Scout,Mark,high
hxxdnrq,2,Mark Scout,MS,high
hxxg0kp,2,Helly R.,she,medium
hxxgn3o,2,Mark Scout,MS,high
hxxy6i3,2,Mrs. Selvig/Cobel,she,high
hxxy6i3,2,Mark Scout,him,high
hxxy6i3,2,Pips,Pibs,medium
hxxy6uo,2,Mrs. Selvig/Cobel,she,high
hxxy6uo,2,Mark Scout,him,high
hxxy6uo,2,Pips,Pibs,medium
hxxyvjt,2,Mark Scout,MS,high
hxy0w0p,2,Irving,Irv,high
hxyqtu9,2,Mark Scout,MS,high
hxzt85b,2,Mark Scout,Mark,high
hxzt85b,2,Petey,Petey,high
hy054d9,2,Helly R.,Helly,high
hy09ou4,2,Mark Scout,Mark,high
hy0b1tp,2,Mark Scout,Mark,high
hy0q2kn,2,Helly R.,Helly,high
hy0r9o5,2,Mark Scout,Mark,high
hy0rggb,2,Harmony Cobel,atheist mom,medium
hy1102j,2,Mrs. Selvig/Cobel,the boss,high
hy1luib,2,Mark Scout,Mark,high
hy234jp,2,Mrs. Selvig/Cobel,she,high
hy244pp,2,Mark Scout,Mark,high
hy25d39,2,Mark Scout,Mark,high
hy31x6y,2,Mark Scout,MS,high
hy3ajip,2,Mark Scout,Mark,high
hy3eytk,2,Mark Scout,Mark,high
hy3ouww,2,Mark Scout,MS,high
hy3spqk,2,Mark Scout,MS,high
hy42q63,2,Mark Scout,Mark,high
hy42q63,2,Lumon Industries,Lumen,high
hy4h494,2,Mark Scout,dude,high
hy4h494,2,Helly R.,Helly,high
hy4h494,2,Petey,Petey,high
hy4vjio,2,Mark Scout,Mark,high
hy4vjio,2,Harmony Cobel,Sekvig,high
hy51o40,2,Lumon Industries,the company,high
hy5932s,2,Mark Scout,Mark,high
hy5932s,2,Helly R.,midwife,medium
hy59dqi,2,Irving,Irv,high
hy59dqi,2,Mark Scout,Mark,high
hy5as35,2,Mark Scout,Mark’s outtie,high
hy5as35,2,Irving,Irving,high
hy5as35,2,Dylan,Dylan,high
hy5as35,2,Helly R.,Helly,high
hy5as35,2,Burt,Christopher Walken’s character,medium
hy5fi55,2,Petey,Peaty,high
hy5fi55,2,Lumon Industries,Lumon,high
hy5fija,2,Irving,Irv,high
hy5fija,2,Dylan,Dylan,high
hy5gsky,2,Mark Scout,Mark,high
hy5gsky,2,Helly R.,Helly,high
hy5gsky,2,Petey,Petey,high
hy5gzi7,2,Mark Scout,MS,high
hy5i5nb,2,Helly R.,Outtie Helly,high
hy5i5nb,2,Mark Scout,Mark,high
hy5ipj9,2,Mark Scout,Mark,high
hy5j0tv,2,Mark Scout,MS,high
hy5j0tv,2,Harmony Cobel,lady one,high
hy5obx9,2,Mrs. Selvig/Cobel,Mrs. “Selvig”,high
hy5obx9,2,Lumon Industries,Lumon,high
hy5p0zx,2,Mark Scout,MS,high
hy5p8be,2,Mark Scout,MS,high
hy5px3l,2,Lumon Industries,Lumon,high
hy5qhzn,2,Mark Scout,MS,high
hy5rhxd,2,Mark Scout,Mark,high
hy5rhxd,2,Petey,unsevered Petey,high
hy5w8ij,2,Mrs. Selvig/Cobel,her,high
hy5w8ij,2,Petey,the black dude,high
hy5wmrh,2,Mark Scout,old dude,high
hy71azs,2,Mark Scout,MS,high
hy771oq,2,Mark Scout,Mark,high
hy7mc9g,2,Mark Scout,Mark,high
hy7mc9g,2,Petey,Petey,high
hy7mc9g,2,Helly R.,Helly,high
hy7n7k3,2,Dylan,Dylan,high
hy7o35k,2,Irving,Irving,high
hy7oiad,2,Irving,Irv,high
hy7oiad,2,Petey,Petey,high
hy7pc7e,2,Petey,Petey,high
hy7pc7e,2,Mark Scout,Mark,high
hy7t2js,2,Irving,Irv,high
hy83jct,2,Mark Scout,MS,high
hy9d9ou,2,Mark Scout,MS,high
hy9i5dq,2,Mark Scout,MS,high
hyci2l5,2,Mark Scout,Mark,high
hyl9b6l,2,Petey,Petey,high
hyl9b6l,2,Mark Scout,Mark,high
hypcebz,2,Helly R.,Helly,high
hypcebz,2,Dylan,coworkers,medium
hyuclpe,2,Mark Scout,MS,high
hyudvjh,2,Lumon Industries,Lumon,high
hyudvjh,2,Irving,Irving,high
hzxmvm8,2,Helly R.,Helen,medium
i2dts9l,2,Mrs. Selvig/Cobel,Cobel,high
i2dts9l,2,Mark Scout,his mom,high
i2swvcv,2,Mark Scout,MS,high
i4dljwq,2,Mark Scout,Mark,high
i4dljwq,2,Harmony Cobel,the boss,high
i4ety5f,2,Mark Scout,MS,high
i4kqyai,2,Mark Scout,Mark,high
i4vukz7,2,Mark Scout,MS,high
i51uz9h,2,Mark Scout,MS,high
i5ice92,2,Helly R.,Hally,high
i5iorep,2,Mark Scout,MS,high
i7dpjml,2,Irving,Irv,high
i7emiwp,2,Kier Eagan,Kier Eagen,high
i87or1p,2,Mark Scout,Mark,high
idyqmg5,2,Mark Scout,MS,high
if14gtm,2,Irving,Irv,high
ikb316x,2,Lumon Industries,Lumon,high
imh14eb,2,Mark Scout,imark,high
ip5rttt,2,Mark Scout,MS,high
ipxjv0k,2,Mark Scout,Mark,high
ipxjv0k,2,Lumon Industries,Lumon,high
isi03u9,2,Mark Scout,MS,high
it1qgt7,2,Mark Scout,MS,high
iubf1xi,2,Mark Scout,MS,high
iubfr1z,2,Mark Scout,MS,high
ivf6ioc,2,Mark Scout,outie mark,high
ivf81j0,2,Mark Scout,Mark,high
j16r0et,2,Mark Scout,MS,high
j1qxamx,2,Mark Scout,MS,high
hybub4r,3,Mark Scout,MS,high
hybx465,3,Mark Scout,MS,high
hybym1d,3,Mark Scout,MS,high
hyc0i4n,3,Mark Scout,MS,high
hyc0isg,3,Mark Scout,MS,high
hyc1koj,3,Harmony Cobel,Harmony,high
hyc1koj,3,Milchick,Milchick,high
hyc1yrj,3,Mark Scout,MS,high
hyc22ol,3,Mark Scout,Mark,high
hyc22ol,3,Petey,Petey,high
hyc2krq,3,Mark Scout,Mark,high
hyc2krq,3,Petey,Petey,high
hyc2woh,3,Harmony Cobel,Harmony,high
hyc2woh,3,Milchick,Milchick,high
hyc32hm,3,Helly R.,Helly,high
hyc32hm,3,Petey,Petey,high
hyc3ebe,3,Mark Scout,MS,high
hyc3z3a,3,Mark Scout,MS,high
hyc43yf,3,Mark Scout,Mark,high
hyc46wf,3,Helly R.,Helly,high
hyc46wf,3,Kier Eagan,Eagan family,medium
hyc4bev,3,Helly R.,Helena,high
hyc4tun,3,Mark Scout,MS,high
hyc57fz,3,Milchick,Milchik,high
hyc57fz,3,Helly R.,Helly,high
hyc5jxs,3,Petey,Petey K.,high
hyc5jxs,3,Helly R.,Helly,high
hyc6a23,3,Kier Eagan,Kier,high
hyc79uw,3,Helly R.,Helly,high
hyc79uw,3,Mark Scout,MS,high
hyc8alq,3,Harmony Cobel,Selvig,high
hyc8zv1,3,Helly R.,Helly,high
hyc8zv1,3,Mark Scout,Mark,high
hycaa24,3,Mark Scout,Mark,high
hycaa24,3,Petey,Petey K.,high
hycb7oz,3,Mark Scout,MS,high
hycb7oz,3,Harmony Cobel,Harmony,high
hycblei,3,Ricken,the brothers book,medium
hyccqr9,3,Mark Scout,Mark,high
hycdbuy,3,Mark Scout,Mark,high
hycdbuy,3,Petey,Petey,high
hycdhh1,3,Mark Scout,Mark,high
hycdhh1,3,Harmony Cobel,Ms. Slevig,high
hyce24o,3,Petey,Petey,high
hyceial,3,Harmony Cobel,Cobel,high
hyceial,3,Mark Scout,Mark,high
hycexlq,3,Mark Scout,Mark,high
hycexlq,3,Harmony Cobel,she,high
hycfeg4,3,Helly R.,Helly,high
hycfmf8,3,Harmony Cobel,Harmony,high
hycfpjt,3,Milchick,Millichek,high
hycg4cu,3,Helly R.,Helly,high
hycgau7,3,Petey,Petey K.,high
hycgau7,3,Harmony Cobel,Harmony,high
hycgau7,3,Irving,Irving,high
hycgau7,3,Helly R.,Helly,high
hycgau7,3,Kier Eagan,the Eagans,high
hycgrp2,3,Mark Scout,Mark,high
hych95f,3,Helly R.,her mother,medium
hych95f,3,Ricken,late husband,medium
hychtmu,3,Mark Scout,Mark,high
hyciifu,3,Mark Scout,MS,high
hyciifu,3,Harmony Cobel,Harmony,high
hyciifu,3,Milchick,Milchick,high
hyciifu,3,Petey,Petey,high
hycjb8b,3,Natalie,Natalie,high
hycjb8b,3,Petey,Peter Kilmer,high
hycjb8b,3,Harmony Cobel,Harmony,high
hycjd41,3,Petey,Petey,high
hycjd41,3,Helly R.,Helly,high
hycjoty,3,Harmony Cobel,Harmony,high
hycl8bv,3,Mark Scout,MS,high
hycmb4o,3,Mark Scout,adam scott's injury,medium
hycmrqq,3,Dylan,D.,high
hycmrwe,3,Milchick,Milchick,high
hycmrwe,3,Helly R.,Helly,high
hycms4k,3,Irving,Irving,high
hycmwlo,3,Milchick,Milchick,high
hycn4w6,3,Natalie,Natalie,high
hycnbgb,3,Dylan,D.,high
hycns33,3,Mark Scout,MS,high
hycoy9n,3,Mark Scout,Mark,high
hycp5jn,3,Mark Scout,his wife's name,high
hycpuxy,3,Baird Eagan,pip,medium
hycq4l5,3,Mark Scout,Mark,high
hycqw7b,3,Petey,Petey,high
hycs7ge,3,Mark Scout,Mark,high
hycs7ge,3,Petey,Petey,high
hycs7ge,3,Milchick,Milchick,high
hycs7ge,3,Harmony Cobel,Harmony,high
hyct3p9,3,Helly R.,Helly,high
hycthck,3,Helly R.,Helly,high
hycu2x7,3,Mark Scout,Mark,high
hycu2x7,3,Petey,Petey,high
hycu2x7,3,Helly R.,Helly,high
hycu3r0,3,Mark Scout,Mark,high
hycu3r0,3,Harmony Cobel,Harmony,high
hycu3r0,3,Petey,Petey,high
hycub1q,3,Petey,Petey K.,high
hycuyov,3,Mark Scout,Mark’s wife,high
hycuzgf,3,Irving,Irv,high
hycwh26,3,Petey,Peter,high
hycwh26,3,Mark Scout,Mark,high
hycwuul,3,Mark Scout,MS,high
hycxhbd,3,Mark Scout,Mark,high
hycxi9q,3,Petey,Petey K.,high
hycxqlf,3,Mark Scout,Mark,high
hycya9r,3,Petey,Petey,high
hycycka,3,Mark Scout,Mark,high
hycyepd,3,Harmony Cobel,Harmony,high
hycyepd,3,Mr. Milchick,Milchick,high
hyczcea,3,Irving,Irv,high
hyczcea,3,Baird Eagan,Burt,medium
hyczkde,3,Mark Scout,wife,high
hycztkk,3,Mark Scout,wife,high
hyd01e0,3,Harmony Cobel,Selvig,high
hyd01e0,3,Mark Scout,Mark,high
hyd01z3,3,Mark Scout,MS,high
hyd01z3,3,Helly R.,Helly,high
hyd08ko,3,Mark Scout,Mark,high
hyd0i94,3,Helly R.,Helly,high
hyd1a77,3,Helly R.,Helly,high
hyd1xtq,3,Mark Scout,MS,high
hyd1z71,3,Helly R.,her,high
hyd1z71,3,Mark Scout,MS,high
hyd2zlb,3,Mark Scout,MS,high
hyd303u,3,Mark Scout,mark,high
hyd38rx,3,Mark Scout,Mark,high
hyd38rx,3,Petey,Petey,high
hyd3qcc,3,Mark Scout,MS,high
hyd3ra1,3,Petey,Petey,high
hyd3ra1,3,Harmony Cobel,Selvig,high
hyd3ra1,3,Mark Scout,Mark,high
hyd4vwl,3,Harmony Cobel,Harmony,high
hyd4vwl,3,Helly R.,Helly,high
hyd55yc,3,Mark Scout,MS,high
hyd6sdr,3,Helly R.,Helly,high
hyd6sdr,3,Milchick,Milkchik,high
hyd6sdr,3,Mark Scout,Mark,high
hyd8d1y,3,Mark Scout,the fat guy,high
hyd937y,3,Milchick,milchick,high
hyd937y,3,Helly R.,Helly,high
hyd9ghl,3,Mark Scout,MS,high
hydd8ym,3,Mark Scout,MS,high
hyddmqp,3,Mark Scout,MS,high
hyddvhw,3,Mark Scout,Mark,high
hyde6us,3,Mark Scout,Mark,high
hyde6us,3,Harmony Cobel,Harmony,high
hyde6us,3,Petey,Petey,high
hyde9cz,3,Mark Scout,MS,high
hydekct,3,Mark Scout,MS,high
hydi2en,3,Mark Scout,Mark,high
hydiyvj,3,Milchick,Milchick,high
hydjgvg,3,Dylan,D.,high
hydjgvg,3,Irving,Irving,high
hydk8e9,3,Helly R.,Helly,high
hydk8e9,3,Kier Eagan,CEO,medium
hydk8kp,3,Irving,Irv,high
hydn7z9,3,Kier Eagan,Kier,high
hydpmfi,3,Mark Scout,Mark,high
hydpmfi,3,Ricken,Ricken,medium
hydqekf,3,Milchick,Mr Graner,high
hydtfbj,3,Petey,Petey K.,high
hydtfbj,3,Harmony Cobel,Selvig,high
hydtfbj,3,Mark Scout,Mark,high
hye0bar,3,Harmony Cobel,Cobel,high
hye0bar,3,Mark Scout,Mark,high
hye0hlk,3,Harmony Cobel,Cobel,high
hye0rvr,3,Helly R.,she,high
hye1inx,3,Mark Scout,mark,high
hye1oa5,3,Mark Scout,MS,high
hye3iof,3,Mark Scout,Mark,high
hye3iof,3,Petey,Petey,high
hye4l7k,3,Helly R.,she,high
hye5da3,3,Mark Scout,Mark,high
hye5r9h,3,Mark Scout,Mark,high
hye5r9h,3,Petey,Petey,high
hye6a9b,3,Mark Scout,MS,high
hye7v3q,3,Mark Scout,MS,high
hye8ybo,3,Dylan,D.,high
hyedehw,3,Irving,Irv,high
hyeh3ph,3,Helly R.,the only female Egan,high
hyehdj2,3,Kier Eagan,Kier Eagan,high
hyehdj2,3,Jame Eagan,Jame Eagan,high
hyehdj2,3,Myrtle Eagan,Myrtle Eagan,high
hyejc5w,3,Mark Scout,Mark,high
hyejc5w,3,Harmony Cobel,Selvig,high
hyejc5w,3,Ricken,Ricken,medium
hyejd27,3,Petey,Petey,high
hyek40b,3,Helly R.,she,high
hyek40b,3,Mark Scout,him,high
hyeliu5,3,Helly R.,she,high
hyemlf2,3,Helly R.,she,high
hyeo8x5,3,Mark Scout,Mark,high
hyeo8x5,3,Harmony Cobel,Harmony Cobel,high
hyeoyfq,3,Mark Scout,Mark,high
hyeoyfq,3,Harmony Cobel,Selvik,medium
hyeoyfq,3,Petey,Petey,high
hyepfjg,3,Mark Scout,Mark,high
hyeqtd4,3,Helly R.,Helly,high
hyeqtd4,3,Mark Scout,Mark,high
hyer7gz,3,Milchick,Milchick,high
hyer7gz,3,Harmony Cobel,Cobel,medium
hyes3tz,3,Mark Scout,he,high
hyetvnx,3,Mark Scout,MS,high
hyeujc4,3,Milchick,Milchik,high
hyeva3q,3,Petey,Petey,high
hyeva3q,3,Harmony Cobel,Harmony,high
hyeva3q,3,Mark Scout,Mark,high
hyevf7c,3,Mark Scout,MS,high
hyewi5d,3,Harmony Cobel,Cobel/Selvig,high
hyewi5d,3,Mark Scout,Mark,high
hyewv78,3,Mark Scout,MS,high
hyezvdp,3,Helly R.,Helly,high
hyf01pe,3,Mark Scout,Mark,high
hyf05xt,3,Mark Scout,Mark,high
hyf05xt,3,Petey,Petey,high
hyf09ih,3,Harmony Cobel,Patricia Arquette/Harmony Cobel,high
hyf2fbu,3,Irving,Irv,high
hyf2fbu,3,Baird Eagan,Burt,medium
hyf2mup,3,Mark Scout,Mark,high
hyf2mup,3,Helly R.,Helly,high
hyf3gnr,3,Mark Scout,Mark,high
hyf3gnr,3,Petey,Petey,high
hyf53y0,3,Mark Scout,marks wife,high
hyf53y0,3,Petey,petey’s daughter,high
hyf5d8z,3,Mark Scout,MS,high
hyf5vgx,3,Mark Scout,his wife,high
hyf7ryi,3,Mark Scout,Mark,high
hyf7ryi,3,Petey,Petey,high
hyf8asu,3,Mark Scout,Mark,high
hyf8asu,3,Petey,Petey,high
hyf8asu,3,Helly R.,Helly,high
hyf9xe3,3,Mark Scout,Mark,high
hyfa3uu,3,Mark Scout,Mark,high
hyfazc1,3,Helly R.,she,high
hyfc9bg,3,Lumon Industries,mega-corporations,high
hyfd879,3,Ricken,Ricken,high
hyffdkl,3,Helly R.,Helly,high
hyffjpe,3,Mark Scout,Mark,high
hyffjpe,3,Dylan,Dylan,high
hyffjpe,3,Helly R.,Helly,high
hyffjpe,3,Petey,Pete,high
hyffjpe,3,Irving,Irv,high
hyfgb2y,3,Mark Scout,Mark’s,high
hyfhjvh,3,Irving,Irving,high
hyfhjvh,3,Dylan,the other coworker,high
hyfirwe,3,Mark Scout,Mark,high
hyfldlw,3,Mark Scout,MS,high
hyftooa,3,Mark Scout,MS,high
hyfwyi3,3,Dylan,D.,high
hyfwyi3,3,Helly R.,Helly,high
hyfydui,3,Mark Scout,Mark's wife,high
hyg0ahi,3,Harmony Cobel,Harmony,high
hyg0te8,3,Mark Scout,mark,high
hyg0te8,3,Milchick,milchik,high
hyg0x7b,3,Mark Scout,Mark,high
hyg1fjm,3,Milchick,Milchick,high
hyg1fjm,3,Harmony Cobel,Harmony,high
hyg2ela,3,Mark Scout,Mark,high
hyg31he,3,Mark Scout,MS,high
hyg4ky2,3,Mark Scout,Mark,high
hyg4ky2,3,Petey,Petey,high
hyg4ky2,3,Irving,Irving,high
hyg4zai,3,Petey,Petey K.,high
hyg4zai,3,Mark Scout,Mark,high
hyg53vv,3,Mark Scout,MS,high
hyg5iv6,3,Mark Scout,Mark,high
hyg6tt9,3,Mark Scout,MS,high
hyg7ntu,3,Mark Scout,Mark,high
hyg7ugs,3,Mark Scout,Mark,high
hyg81xa,3,Kier Eagan,Kier,high
hyg88aw,3,Milchick,milchick,high
hyg88aw,3,Helly R.,Helly,high
hygapp6,3,Petey,Petey,high
hygaypc,3,Ricken,Ricken,high
hygc0n8,3,Mark Scout,Mark,high
hygc0n8,3,Helly R.,Helly,high
hygdrij,3,Mark Scout,MS,high
hygetlg,3,Mark Scout,Mark,high
hygetlg,3,Petey,Petey,high
hygetlg,3,Helly R.,Helly,high
hygetlg,3,Milchick,Milchick,high
hygevtz,3,Harmony Cobel,selvig,high
hygevtz,3,Helly R.,Helena,high
hygfdvn,3,Helly R.,she,high
hygfihl,3,Helly R.,Helly,high
hygg7ol,3,Mark Scout,Mark,high
hyggehx,3,Mark Scout,MS,high
hyggi69,3,Mark Scout,Mark,high
hyggi69,3,Petey,Pete,high
hygi0e6,3,Helly R.,her,high
hygkyp9,3,Harmony Cobel,Patricia Arquette's character,high
hygkyp9,3,Mark Scout,Mark's outie,high
hyglyho,3,Mark Scout,MS,high
hygmblf,3,Harmony Cobel,Mrs. Selvig,high
hygmblf,3,Petey,Petey,high
hygmupd,3,Ricken,Ricken,medium
hygnr4w,3,Mark Scout,Mark,high
hygnr4w,3,Harmony Cobel,Harmony,high
hygnr4w,3,Petey,Petey,high
hygofxb,3,Mark Scout,Mark,high
hygooa2,3,Mark Scout,MS,high
hygoqz1,3,Mark Scout,MS,high
hygpey7,3,Mark Scout,Mark,high
hygpsyq,3,Helly R.,Helly,high
hygpsyq,3,Lumon Industries,Lumon,medium
hygq7fp,3,Mark Scout,MS,high
hygr5at,3,Mark Scout,MS,high
hygrlca,3,Helly R.,Helly,high
hygrm2o,3,Baird Eagan,Baird,high
hygrnhc,3,Helly R.,Helly,high
hygrpr6,3,Mark Scout,MS,high
hygs1a9,3,Mark Scout,MS,high
hygsilo,3,Helly R.,she,high
hygt6jr,3,Dylan,D.,high
hygt6jr,3,Helly R.,Helly,high
hygtiau,3,Mark Scout,Mark,high
hygtixn,3,Mark Scout,Mark,high
hygtixn,3,Petey,Petey,high
hygvye8,3,Mark Scout,Mark,high
hygvye8,3,Harmony Cobel,Mrs. Selvig,high
hygx7bw,3,Mark Scout,Mark,high
hygx7bw,3,Petey,Petey,high
hyh00f1,3,Mark Scout,MS,high
hyh0g5d,3,Mark Scout,MS,high
hyh0r3c,3,Mark Scout,Mark,high
hyh118y,3,Mark Scout,Mark,high
hyh118y,3,Harmony Cobel,boss lady,medium
hyh2472,3,Mark Scout,Mark,high
hyh2472,3,Helly R.,Helly,high
hyh2472,3,Dylan,Dylan,high
hyh2472,3,Irving,Irving,high
hyh25or,3,Milchick,optics guy,medium
hyh2en9,3,Milchick,Milchick,high
hyh310n,3,Mark Scout,Mark,high
hyh310n,3,Petey,Petey,high
hyh310n,3,Milchick,Milchik,high
hyh34ey,3,Mark Scout,Mark,high
hyh34ey,3,Petey,Petey,high
hyh38wy,3,Mark Scout,Mark,high
hyh3pd6,3,Helly R.,Helly,high
hyh451q,3,Kier Eagan,Kier Eagan,high
